step,artifact,method,finding_summary
G1-A.1,run_stage15_n128_campaign.sh / run_stage15_n128_retry_failed.sh (read),script inspection,"Paper4 N128 campaign uses 3 configs across 4 arms: saclb_campaign_baseline_v2.yaml (baseline), saclb_campaign_static_at_cap_v2.yaml (static_at_cap), saclb_campaign_v2.yaml (dqn_sla AND dqn_qoe, same file)"
G1-A.2,docs/REPRODUCIBILITY.md (read),doc cross-check,"Independently confirms G1-A.1's config-to-arm mapping, plus exact result path pattern and metrics script"
G1-A.3,experiments/results/live_campaign_v2/*/*/rep_seed961/omega_log.jsonl (read),log ground truth,"Recorded live 'ceilings' fields in all 4 arms' logs match the _v2 configs' ratios exactly, not the non-_v2 siblings -- confirms G1-A.1/A.2 is not a filename assumption"
G1-A.4,docs/PAPER5_FIG8_validity_check.md (existing, read),prior-session finding,"Fig.8's 3 live-anchor cells (original@3UE, original@6UE, recalibrated@6UE) all use experiments/configs/saclb_campaign.yaml, confirmed via the same ceiling-value-matching method"
G1-A.5,git log framework/qoe_oran_framework/configs/saclb_live.yaml,git history,"M8's two live runs (both, per docs/PAPER5_M8_live_anchor.md) ran under saclb_live.yaml's PRE-M41-fix ratios (2026-07-16 to 2026-09-05) -- the current file has since been fixed (commit cda9d65), so M8's floor-matrix row uses the historical ratios, not the current file"
G1-B.1,experiments/scripts/m42_floor_matrix.py (new script),mechanical computation,"raw_prbs = (106 * ratio_pct) // 100, min_rbSize=5, both cited from gNB_scheduler_dlsch.c source lines (1526-1528/1556 for the conversion, 1075 for the floor) and M41's own empirical n_rb_sched_init=106 confirmation"
G1-B.2,experiments/results/m42_floor_audit/config_floor_matrix.csv (output),script output,"27 rows across 9 config/campaign pairs. urllc BROKEN (cap=4 raw PRB) and mmtc BROKEN (cap=3 raw PRB) in EVERY config/campaign row with zero exceptions. embb is MARGINAL (floor=1, cap=12) in every _v2/campaign config but OK (floor=6) only in the post-M41-fix saclb_live.yaml. M8's historical embb was also BROKEN (cap=4 raw PRB, pre-fix)."
G1-C.1,experiments/results/live_campaign_v2/PROGRESS.log (read),log inspection,"Zero RESTART/FATAL/unhealthy/max-retx events logged across the entire N128 campaign's health-check history"
G1-C.2,experiments/scripts/health_check.sh (read),script inspection,"health_check.sh does not test for RLC max-RETX at all -- its silence in G1-C.1 is not evidence the failure never occurred, since the check was never designed to detect this specific signature"
G1-C.3,experiments/results/live_campaign_v2/dqn_sla/sla/rep_seed961/omega_log.jsonl sample record (read),log inspection,"Every slice's 'limitation' field explicitly states dl_mac_buffer_occupation was 0 for all UEs and a dl_errors+dl_bler fallback proxy was used instead -- the omega log's own sla_margin/compliant fields are NOT a direct measurement of real RLC-layer health"
G1-C.4,"find experiments/logs -newermt ""2026-07-31"" ! -newermt ""2026-08-04""",filesystem search,"No raw gNB/UE console logs survive from Paper4's N128 campaign window (late July/early Aug) -- cannot directly check for max-RETX events during that specific campaign from existing artifacts"
G1-C.5,"experiments/logs/live_ue2..6_console.log (read, stat)",log content + filesystem metadata,"60,000+ 'max RETX reached' events per file, onset within the first 2.5% of each file's own line count -- BUT each file's Birth time (2026-08-19) does not match its Modify time (2026-08-27), an internally inconsistent provenance that cannot be reliably correlated to the specific Fig.8-cited 6ue_20ep run (completed 12:31) versus the separate, later 6ue_2hr stress run (completed ~14:48) without further reconstruction. Treated as inconclusive, not used to support either verdict."
G1-VERIFY,Part 3C live reproduction (prior session, re-cited here),live test (already run, not repeated for G1),"Already-existing direct evidence: the actual original checkpoint against the real unmodified saclb_campaign.yaml at native load failed at t=10.0s with 19 real max-RETX events on urllc -- the one piece of DIRECT live evidence available without a new G2 run"
