result,source_milestone,paper,target_section,artifact_path
"SLA-margin recalibration attempt: grid search over backlog_capacity/drift/volatility/AR(1) cannot move offline-live rank correlation (Spearman rho=0.097, p=0.855, both before and after)",M1,A,Live Single-gNB Anchor / System Model (offline env as stress-not-predictor),docs/PAPER5_M1_recalibration.md; experiments/scripts/m1_*.py
"Identifiability + loss-channel-coupling diagnosis: why no offline recalibration within this model family can fix live-rank correlation at n=6",M1,A,Live Single-gNB Anchor / System Model,docs/PAPER5_M1_recalibration.md (Block B, 'Characterizing the fidelity gap')
"GAT-CTDE 3-arm campaign, final corrected numbers: compliance 0.151/0.049/0.115 (gat_ctde/indep/single); mean_reward/step 14.062/12.601/13.867; paired +1.461 [0.550,2.782] p<0.0001 vs indep-DQN; +0.195 [-0.017,0.442] p=0.0577 vs single-agent; block precision 0.952; 21/30 seeds differentiated",M2,A,GAT encoder + CTDE (M2),docs/PAPER5_M2_gat_ctde.md secs 11-14; experiments/results/m2_campaign/campaign_results.json
"Training-collapse diagnosis chain: always-accept collapse found via Q-value probe (Q(accept)-Q(reject) +7.8 to +10.7 all slices); cosine-similarity=0.99997 isolates encoder-magnitude-not-direction bug; LayerNorm fix (30/30->27/30 collapsed); per-slice Q-heads fix (27/30->9/30 collapsed, 21/30 differentiated)",M2,A,Evaluation-Integrity Findings / Evaluation Safeguards,docs/PAPER5_M2_gat_ctde.md secs 11-12
"Eval-log append-contamination bug: OmegaLogger append-mode + 3x in-place retrain silently averaged 3 architecture generations together; found via regression check, fixed, all downstream numbers corrected",M2,A,Evaluation-Integrity Findings / Evaluation Safeguards,docs/PAPER5_M2_gat_ctde.md sec 14
"torch.manual_seed() missing at MARL policy construction time (weight init never actually seeded pre-fix); found via reproduction-script diff, fixed, does not change any reported number (env/exploration was already correctly seeded)",M2/M3,A,Reproducibility Statement (M49),docs/PAPER5_REPRODUCIBILITY.md
"Independent-DQN mmtc-abandonment mechanism: uncoordinated per-gNB learners pin mmtc near floor (not over-claiming shared pool); GAT-CTDE's shared representation keeps mmtc's ceiling up despite its low reward weight",M2,A,GAT encoder + CTDE (M2),docs/PAPER5_M2_gat_ctde.md sec 8
"Correctness-aware metric pair (mean_reward_per_step, block_precision) defined and validated as the primary evaluation lens, computed entirely from already-logged data",M2,A,Evaluation Safeguards (stated once as method),docs/PAPER5_M2_gat_ctde.md sec 12; experiments/scripts/m2_correctness_metrics.py
"Metric-disagreement ledger: sla_compliance_all_slices disagrees with the correctness-aware pair in 44/49 (90%) comparisons across M2-M4-M6; independent supplementary batch replicates at 21/24 (87.5%); combined 44/49 (89.8%)",M35,A,Evaluation Safeguards (THE SAFEGUARD),docs/PAPER5_M35_metric_disagreement_ledger.md
"Federated GAT-CTDE: no measurable reward cost vs centralised (+0.133 [-0.138,0.470], p=0.8125, same 10 seeds)",M3,A,FL coordinator (Federated Training with DP),docs/PAPER5_M3_fl_dp.md
