step,artifact,method,finding_summary
P0.1,framework/qoe_oran_framework/kpm_adapter.py:20-90 (read, frozen),source trace,"queue_len_norm derived from dl_mac_buffer_occupation, falling back to (dl_errors+dl_bler) when the former is 0 for a non-empty slice; loss_proxy = mean(dl_bler)"
P0.2,framework/qoe_oran_framework/reward.py:69-90 (read, frozen),source trace,"violated = (queue_len_norm>1.0) OR (loss_proxy>loss_budget_pct); per_slice_compliant = NOT violated; margin = min(1, 1-raw_queue_len_norm, 1-loss_proxy/budget)"
P0.3,derivation from P0.1+P0.2,formula analysis,"A fully-starved slice (zero PRB grants) produces dl_errors=0, dl_bler=0 (nothing attempted, nothing to fail) -> loss_proxy=0 -> loss_violation false; if dl_mac_buffer_occupation also reads 0, fallback is also 0 -> queue_violation false. Both channels read compliant simultaneously for zero-activity starvation -- confirmed from source formula alone, high confidence"
P0.4,ORANSlice/.../gNB_scheduler_dlsch.c:327-383,1638 (read),source trace,"nr_store_dlsch_buffer() queries RLC's real bytes_in_buffer every slot unconditionally (not gated on scheduling success) -- in principle should show real growing backlog for a starved slice, contradicting a naive 'telemetry pipeline broken' explanation"
P0.5,ORANSlice/.../nr_pdcp_entity.c:613,661 (read),source trace,"PDCP implements a real discard_timer -- PDUs older than this get dropped, not delivered, before ever reaching RLC's own queue -- a plausible (not live-confirmed this pass) mechanism for why starvation manifests as silent packet loss rather than growing dl_mac_buffer_occupation"
P0.6,experiments/scripts/drain_backlog.sh (read),script inspection,"N128 campaign resets ceilings to min=0,max=100 and waits 20s before every 2-episode batch -- a second, not-yet-confirmed candidate contributor to why N128's short/reset batches never showed the sustained queueing M8's longer runs did"
P0-VERDICT,experiments/results/m43/metric_provenance.md,synthesis,"Compliance metric is radio-insensitive by construction to complete DL starvation (confirmed, formula-level). Reconciliation of why dl_mac_buffer_occupation itself read 0 is plausible (PDCP discard timer) but marked TODO(MEASURE), not live-confirmed. An above-floor re-run should restore real signal (M8's own non-zero readings under the same broken config support this). Recommend proceeding to P1."
P1-CORRECTION,ORANSlice/.../nr_pdcp_entity.c (re-read before instrumenting),source trace,"P0.5's discard_timer hypothesis REFUTED: discard_timer is stored (nr_pdcp_oai_api.c:848,1171) but never checked/enforced anywhere in nr_pdcp_entity.c -- dead code, not an active drop mechanism. Corrected before live test."
P1-CORRECTION.2,ORANSlice/.../nr_rlc_entity_am.c:1783 (read),source trace,"Found the REAL active drop mechanism instead: nr_rlc_entity_am_recv_sdu()'s own bounded buffer check (tx_size+size>tx_maxsize -> silently reject, sdu_rejected++). Instrumented this instead of the dead discard_timer."
P1.1,git tag m43-p1-submission-record,git provenance,"Config (saclb_campaign_v2.yaml) and DQN-QoE checkpoint both last touched in 90e408c (2026-07-29), zero commits since -- confirmed byte-identical to submission (2026-08-31). Core harness files also zero commits since submission except restart_ran_stack.sh (bug-fixed post-submission, used deliberately, documented as one exception)."
P1.2,ORANSlice C source instrumentation (new, 3 files),code change (gitignored diagnostic instrumentation),"Added M43DBG pdcp_ingress (nr_pdcp_entity.c), rlc_ingress (nr_rlc_oai_api.c), rlc_am_recv_sdu (nr_rlc_entity_am.c) -- rebuilt nr-softmodem+nr-uesoftmodem clean"
P1.3,experiments/scripts/m43_launch_original_traffic.sh (new),new script,"Reproduces traffic_profiles.yaml exactly (embb 4M/1200B sustained, urllc 300K/100B sustained, mmtc 50K/80B bursty) -- no existing script launches traffic from this file (checked: zero IP references anywhere in experiments/scripts/)"
P1.4,live: run_live_eval_arm.py --arm dqn_qoe (original harness+config+checkpoint+traffic),live test,"2 episodes, seed 43003 (fresh, not 950-977). Two operational retries (wrong python3 interpreter in the harness's own subprocess call; a relative-path issue from cwd=FRAMEWORK_DIR) -- neither touched rig bring-up/traffic, confirmed via health_check.sh reporting healthy throughout both retries"
P1.5,ue1/ue2/ue3 console logs (grep 'max RETX reached'),log inspection,"9266/11187/10293 real max-RETX events on embb/mmtc/urllc respectively over 600s -- confirmed real, severe, all 3 slices"
P1.6,omega_log.jsonl (recomputed submitted metric),live telemetry,"mean_sla_viol=1.0, sla_margin_by_slice all catastrophic negative (embb -965124, urllc -836519, mmtc -1741) -- embb's episode-2 value (-1,002,377.5) matches M8's own historical figure to the decimal. Metric REFLECTS the failure, does not mask it, for this run."
P1.7,gNB console log M43DBG line counts + rejected_this_sdu grep,new instrumentation analysis,"pdcp_ingress=708274 ~= rlc_ingress=708494 ~= rlc_am_recv_sdu=708669 (PDCP drops nothing, confirmed). 488717/708669 (=69%) show rejected_this_sdu=1 -- RLC's own bounded buffer is the real, massively active drop mechanism."
P1.8,omega_log.jsonl ceilings field (steps 0,1,2,5,10,61,-3,-2),live telemetry,"All 3 slices walked to (min=1,max=1), the absolute floor, within the first few steps and stayed there almost the entire run -- diverges sharply from M42's own seed-961 sample (urllc/mmtc rode UP toward caps 4/3 instead), consistent with genuine seed-dependent policy variance, not confirmed as typical or atypical of the actual submitted seeds 950-977."
P1.9,omega_log.jsonl limitation field (all 122 steps),live telemetry,"dl_mac_buffer_occupation fallback fired in only 1/122 steps (the first) -- confirms REAL buffer telemetry was live and populated this run, unlike the original campaign's logs (fallback fired every step, every slice)."
P1-VERDICT,experiments/results/m43/p1_report.md,synthesis,"GATE P1 = Branch 2 (RLC max-RETX fires AND the proxy reflects it). A submitted run behaving like this one would show catastrophic violation, not 100/100/100. NOT established: whether this generalizes to the actual submitted seeds 950-977 -- this run's floor-pinning trajectory diverged from the one historical seed sample checked. Recommend: characterize across the actual submitted seed set before deciding P2's scope."
