result,section,provenance,config,floor_clears,disposition,notes
"SLA-margin recalibration attempt (rho=0.097 finding)",Live Single-gNB Anchor / System Model,"pre-fix-live (fitting TARGET only; M1's own grid-search analysis is offline)",saclb_campaign_v2.yaml (checkpoint 256, confirmed via M42 config_floor_matrix.csv); checkpoints 257-261's exact config NOT independently confirmed by M42's audit scope,"BROKEN for urllc+mmtc, MARGINAL for embb (checkpoint 256 only, per M42); 257-261 UNVERIFIED",re-verify,"M1 fits an offline demand model against a live SLA-margin distribution that is itself drawn from a pre-fix, below-floor live campaign. TODO(MEASURE): confirm 257-261's config identity before trusting this row further -- M42 never audited the Stage-11 21-episode sensitivity checkpoints specifically. Does not invalidate M1's negative result (a broken target is still a real target M1 correctly failed to fit), but the INTERPRETATION ('this rig's traffic scale never drives 4/6 checkpoints into genuine contention') needs re-examination: the near-ceiling compression could be the floor bug's binary catastrophic-vs-fine failure mode rather than insufficient contention."
"Identifiability + loss-channel-coupling diagnosis",Live Single-gNB Anchor / System Model,pre-fix-live (same target data as the row above),same as above,same as above,re-verify,"Same underlying contamination as the row above -- the (a)/(b) diagnosis (n=6 near-ceiling compression; loss/backlog deterministic coupling) is offline-side reasoning applied to a live target whose own provenance is now in question."
"GAT-CTDE 3-arm campaign, final corrected numbers",GAT encoder + CTDE (M2),offline,saclb_offline_dqn.yaml (ClosedLoopKpmSource, no real scheduler in the loop),N/A -- floor bug is a live-hardware scheduler concept, not applicable to this simulated environment,ship-as-is,No live data anywhere in this result.
"Training-collapse diagnosis chain (LayerNorm + per-slice-heads fixes)",Evaluation-Integrity Findings / Evaluation Safeguards,offline,saclb_offline_dqn.yaml,N/A,ship-as-is,
"Eval-log append-contamination bug",Evaluation-Integrity Findings / Evaluation Safeguards,offline,saclb_offline_dqn.yaml,N/A,ship-as-is,
"torch.manual_seed() missing at MARL policy construction",Reproducibility Statement (M49),offline,saclb_offline_dqn.yaml,N/A,ship-as-is,
"Independent-DQN mmtc-abandonment mechanism",GAT encoder + CTDE (M2),offline,saclb_offline_dqn.yaml,N/A,ship-as-is,
"Correctness-aware metric pair defined and validated",Evaluation Safeguards,offline,saclb_offline_dqn.yaml,N/A,ship-as-is,
"Metric-disagreement ledger (89.8% combined)",Evaluation Safeguards (THE SAFEGUARD),offline (re-analysis of M2/M3/M4/M6's own offline data; M35's own header states 'no rig'),saclb_offline_dqn.yaml (inherited from the underlying campaigns),N/A,ship-as-is,
"Federated GAT-CTDE reward-cost null result",FL coordinator,offline,saclb_offline_dqn.yaml,N/A,ship-as-is,
"DP noise-multiplier sweep + compliance-metric inversion",Privacy layer / Evaluation Safeguards,offline,saclb_offline_dqn.yaml,N/A,ship-as-is,
"zCDP bound",Privacy layer,offline (a closed-form calculation over sigma/k, not itself a run),N/A,N/A,ship-as-is,
"Privacy threshold location shifts across seed samples",Privacy layer,offline,saclb_offline_dqn.yaml,N/A,ship-as-is,
"FedProx null result under heterogeneity",FL coordinator,offline,saclb_offline_dqn.yaml,N/A,ship-as-is,
"Disruption campaign (dropout/spike/churn, accelerating cost)",Disruption Resilience,offline (evaluation-time perturbation of M2/M3's offline-trained frozen checkpoints),saclb_offline_dqn.yaml,N/A,ship-as-is,
"Independent-DQN churn-immunity RETRACTED via replication",Disruption Resilience / Evaluation Safeguards,offline,saclb_offline_dqn.yaml,N/A,ship-as-is,
"Formal paired disruption-cost test (significant only at mildest dropout)",Disruption Resilience,offline,saclb_offline_dqn.yaml,N/A,ship-as-is,
"Cluster-size scaling N=3->7->19, 35.4% pooled collapse rate",Cluster-Size Scaling,offline,"saclb_offline_dqn.yaml-family multi-gNB configs (N=7/19 variants), original (non-recalibrated) ClosedLoopKpmSource",N/A,ship-as-is,"Genuinely offline throughout; the 'no single small sample trusted alone' methodology point survives independent of the M44-A anchor issue below, since this specific pooled estimate never used RealisticServedKpmSource."
"N=19 collapse-resistance confirmed via Q-value probe",Cluster-Size Scaling,offline,as above,N/A,ship-as-is,
"Recalibrated-simulator (RealisticServedKpmSource) re-run at N=19",Cluster-Size Scaling (delivers Paper #4 future-work item 1),offline RUN, but anchored to a contaminated live-derived measurement,"RealisticServedKpmSource: SERVED_PRB_3UE={urllc:5.0,embb:13.0,mmtc:5.0}, SERVED_PRB_6UE={urllc:10.0,embb:45.0,mmtc:10.0} -- see experiments/scripts/realistic_served_kpm_source.py","urllc/mmtc anchors (5.0, 10.0) = the avg_prbs_dl OBSERVABILITY FLOOR (min_rbSize=5), confirmed by M44-A as an artifact, NOT measured demand; true native demand is 'very likely well below 5 PRB' per M44-A's own words. embb anchor (13.0/45.0) is real and above the floor -- fine.",re-verify / re-collect (deferred to M49b per the user's own instruction -- NOT executed here),"This is the row the CONTEXT block's expected-hit #2 (M34 anchors) points at. Re-anchoring is NOT a drop-in fix: M44-A's own demand-vs-load curve measures ONE slice's bitrate ramp while holding the OTHER TWO at native rate, a different experimental design than M8/M27's simultaneous 3-UE/6-UE multi-slice scaling. There is no established correspondence yet between M44-A's load-multiplier axis (1x/2x/5x/10x...) and M8's UE-count axis (3UE/6UE) -- SERVED_PRB_6UE's urllc/mmtc=10.0 value does not even land on a real M44-A measurement point (10x native gives urllc=7.0; the mmtc curve is still flat-5.00 at its own 2x-equivalent level, only clearing at 50x=7.07), so 10.0 looks like an un-verified 2x scaling heuristic applied to the already-contaminated 5.0 anchor, not an independent measurement. New live probe work (matching M8's actual per-slice-count traffic levels, not M44-A's single-slice ramp) is needed before a trustworthy re-anchor exists -- this is exactly what the user's own M49b placeholder is for."
"Recalibrated-simulator re-run at N=7 (single-agent DQN 50% collapse, contradicts original pilot)",Cluster-Size Scaling,offline RUN, same anchor contamination as above,same as above,same as above,re-verify / re-collect (deferred to M49b),"Same caveat as the N=19 row. The QUALITATIVE finding (a 3-seed pilot was too small to see a real ~50% collapse rate) is a distinct, still-valid methodology point independent of the anchor issue; the QUANTITATIVE collapse rate itself inherits the anchor uncertainty."
"Live 2-gNB demo attempt (real hardware RF/CPU ceiling)",Limitations,pre-fix-live by date (2026-08-28, before M41's 2026-09-05 fix),"N=2 configs (saclb_offline_live2gnb.yaml / saclb_live2gnb.yaml), RealisticServedKpmSource for training -- but the LIVE failure itself occurred before any admission-ceiling decision was exercised (failed at RF-link/registration stability under simultaneous 2-gNB real-time load)",N/A -- the floor-bug rule protects against admission-ceiling-driven starvation being misread as a policy/architecture finding; this finding is about raw RF/CPU real-time capacity and never reached the point where slicing_control_m ceilings were the acting mechanism,ship-as-is,"Pre-fix-live by date, but the rule's rationale does not apply: nothing about this specific finding (registration works, two simultaneous full RF links do not) depends on whether admission-ceiling ratios clear 5 PRB. Flagged explicitly rather than silently exempted."
"Live single-gNB anchor: decision-logic transfers unchanged (mmtc-only blocks, matches offline 1.000 precision)",Live Single-gNB Anchor,pre-fix-live -- CONFIRMED for the entire M8 live-run window,"saclb_live.yaml, commits 82b20f6 (2026-07-16) through 40ae2f3 (2026-08-19); the fix (cda9d65) did not land until 2026-09-05, AFTER every M8 live run",BROKEN for ALL THREE slices (urllc 3/1/3, embb 3/1/4, mmtc 2/1/3 -- raw PRBs 3/3/1/1 -- per M42 config_floor_matrix.csv; embb is ALSO broken here, unlike the Paper4/Fig.8 configs where embb was only MARGINAL -- a correction to the CONTEXT block's own expected-hit wording),CANNOT SHIP AS-IS -- re-verify,"This is the flagship hit the audit was designed to find, but broader than expected: not just urllc/mmtc, all three slices are below the scheduler floor for M8's specific config. The 'decision logic transfers unchanged' claim rests on which slice gets blocked matching offline precision -- but if the RADIO layer was starving even ACCEPTED requests (below-floor grant failure applies regardless of accept/reject), the live backlog state feeding admission decisions could itself have been corrupted, meaning the matching block pattern may not be clean evidence of correct transfer. Proposed resolution: substitute the M47-2-2 trust-gated live runs (single-agent/lb_only-adjacent runs under the post-fix saclb_m46_train.yaml family, in-band ~100%, state-responsive, coupling-tolerant) as the post-fix decision-transfer evidence -- but note this substitution changes the claim's scope from 'GAT-CTDE-adjacent single-agent DQN' (M8's own arm) to whatever arm M47-2-2 actually trust-gated (DQN-SLA/DQN-QoE under saclb_m46_train.yaml, not the M8 seed-900 single-agent-DQN checkpoint family) -- these are NOT the same checkpoints or even the same config lineage, so the substitution answers 'does SOME single-agent decision logic transfer live post-fix' but does not directly re-confirm M8's OWN seed-900 checkpoint's specific transfer claim. This distinction should go to the user, not be silently smoothed over."
"SLA-margin unit-mismatch diagnosis + Little's-Law recalibration",Live Single-gNB Anchor (delivers Paper #4 future-work item 1),pre-fix-live -- CONFIRMED,same as above,same as above (BROKEN all 3 slices),re-verify,"The unit-mismatch bug itself (dividing a byte count by a calibration constant tuned for the wrong scale) is a real, config-independent code fact and does not need re-verification. What needs re-verification is the CAUSAL FRAMING: the catastrophic 10.02MB backlog was described as 'a real, independently-documented backlog failure regime,' but given every slice's ceiling was structurally below the scheduler's grant floor for this entire session, the backlog runaway may be the floor-starvation bug's own signature (M41's own mechanism: below-floor grant -> scheduling stops entirely -> RLC retry budget exhausts -> unbounded backlog) rather than organic contention. The Little's-Law recalibration formula itself remains a valid fix regardless of which cause is correct."
"Heavier live load (3 UE vs 6 UE): complete collapse at 6 UE",Live Single-gNB Anchor / Deployment Lessons,pre-fix-live -- CONFIRMED,same as above,same as above (BROKEN all 3 slices),CANNOT SHIP AS-IS -- re-verify,"This is the second flagship hit. The '6-UE collapse' was read as an out-of-distribution generalisation failure (offline never exceeds congestion-feature 0.09, live 6-UE reaches 0.60-0.69). But with the ceiling structurally below the scheduler floor for every slice throughout, ANY sustained load level -- not specifically 6-UE-scale congestion -- would eventually starve the scheduler once accumulated backlog/retry exhaustion set in (M41's own root-cause mechanism, confirmed to onset within seconds-to-tens-of-seconds independent of UE count or traffic shape). Whether the 3-UE condition avoided collapse because it is genuinely a different regime, or simply because it happened not to run long enough / hit the failure's onset window that particular session, is now an open question this audit surfaces rather than resolves."
"Root cause of the 6-UE collapse: OOD extrapolation + live ceiling-sweep (flat PRB vs. ratio)",Live Single-gNB Anchor,pre-fix-live -- CONFIRMED,same as above,same as above (BROKEN all 3 slices),CANNOT SHIP AS-IS -- re-verify,"The single most important hit in this audit. M8's own live ceiling-sweep found served PRB flat at 5.00/13.00 regardless of commanded ratio for urllc/mmtc, concluded from this that 'the admission-ceiling lever has no measured effect on throughput at all -- only accept/reject does,' and built the entire RealisticServedKpmSource recalibration on treating served capacity as a ratio-independent constant. M44-A (a LATER, dedicated investigation) explains this exact flat-5.00 signature as the avg_prbs_dl OBSERVABILITY FLOOR artifact (min_rbSize=5 is the finest granularity the metric can ever show, not evidence that true demand or true achievable throughput is exactly 5 PRB) -- the identical mechanism M41 later diagnosed as the cause of every pre-fix live control-loop failure. M8's causal conclusion ('no ratio curve exists') is very likely reading a measurement artifact as a physical property of the system. This does not necessarily mean the RealisticServedKpmSource recalibration's PRACTICAL fix (treating served capacity as approximately constant across the ratio range actually tested) is wrong for embb (whose anchor is real, above-floor data) -- but for urllc/mmtc specifically, the premise needs re-derivation from post-fix live data, not carried forward from this artifact."
"RealisticServedKpmSource recalibration reverses the 6-UE collapse LIVE",Live Single-gNB Anchor (delivers Paper #4 future-work item 1),pre-fix-live -- CONFIRMED (the live confirmation run, not just the anchors),same as above,same as above (BROKEN all 3 slices),CANNOT SHIP AS-IS -- re-verify,"The third flagship hit, and the most consequential: this is WPC's own headline 'fix' result (a dedicated manuscript subsection, Recalibrating the Simulator to Match Live Congestion). The live confirmation that the recalibrated checkpoint restores full block precision at 6 UEs ALSO ran before the M41 fix landed (cda9d65, 2026-09-05) -- meaning the radio layer itself was still structurally broken (below-floor grants for every slice) during this confirmation run too. It is not established whether the observed improvement reflects the recalibrated policy genuinely learning better congestion-appropriate behaviour, or a different interaction between the new checkpoint's action distribution and the SAME underlying floor bug (e.g. the recalibrated policy may issue ceiling values that happen to sit in a different, accidentally-safer band). Proposed resolution: re-run this specific confirmation (recalibrated seed-900-equivalent checkpoint, 6-UE live, post-fix saclb_live.yaml) -- this is real, bounded new live work, appropriately scoped to a future gated milestone (the user's own M49b), not executed here."
"Bibliography authenticity audit (38/38 verified via CrossRef)",Related Work citation integrity,N/A -- not an experimental result (a citation-metadata check),N/A,N/A,ship-as-is,Unaffected by any live/offline provenance question.
"M1-M4 one-command reproduction + independent-seed-replication infrastructure",Reproducibility Statement (M49),offline (M2/M3/M4 stages); M1's stage reuses the same pre-fix-live target data flagged in row 1 above,saclb_offline_dqn.yaml (M2-M4); M1 inherits row 1's target-data caveat,N/A for M2-M4; see row 1 for M1,ship-as-is for the M2-M4 machinery; re-verify for M1's own reproduction target,"The reproduction SCRIPTS themselves are provenance-neutral tooling. Flagging only because M1's reproduction target inherits the same live-data caveat as rows 1-2."
