step,artifact,method,finding_summary
PF1.1,docs/PAPER5_M45_PF1_priority_weighted_correctness.md (new doc) + experiments/scripts/m45_priority_weighted_correctness.py (new code),analysis only (no rig),"Defines Priority-Weighted Correctness (PWC): per-slice C_k(t) = clip(served/offered,0,1) * (1-rlc_reject_frac), combined as Score(t) = (w_urllc*C_urllc + w_embb*C_embb)/(w_urllc+w_embb) with w_urllc=5.0, w_embb=3.5 -- NOT invented, these are priority_weight (omega_k) read directly from the submitted, frozen saclb_campaign_v2.yaml. Built entirely from radio-layer instruments (corrected throughput parser, M43DBG RLC AM reject stats) that neither DQN reward function consumes -- independent of both, including DQN-QoE's own sla_viol term, which shares check_violations' exact P0 blind spot and so cannot itself serve as an independent judge."
PF1.2,sensitivity argument,analysis,"A fully-starved slice (P0/M44-C's failure mode) drives BOTH terms of C_k to 0 simultaneously (served/offered->0 AND rlc_reject_frac->1), while sla_compliance_all_slices reads the identical scenario as 100% compliant (P0's own finding: dl_errors=0/dl_bler=0 when nothing is attempted). The two signals are structurally opposite on the exact case that matters, not a difference of degree."
PF1.3,mapping to DQN-QoE's own objective (non-circularity),analysis,"compute_qoe_reward has NO explicit per-slice priority weight (mean_mos averages all slices equally), unlike compute_step_reward's (SLA arm's) explicit priority_weight-scaled service_term. Either PWC outcome (QoE wins despite no explicit weighting, or SLA wins because of its explicit weighting) is a genuine, interpretable, non-circular finding, since PWC's own weights come from the submission's own definition of priority, not from either reward's live computation or either policy's training signal."
PF1.4,validation against M44-E4's own already-collected trajectory data (no rig time -- reprocessing existing files),analysis,"6 co-located combos: (6,7)->PWC=0.289, (7,7)->0.564, (8,7)->0.482, (7,5)->0.530, (7,8)->0.573, (7,10)->0.585. Confirms the intended asymmetry directly: raising urllc's ceiling 6->7 (embb fixed) moves PWC by +0.275; raising embb's ceiling 5->10 (urllc fixed) moves PWC by only +0.055 despite embb's own mean_C_embb nearly quadrupling (0.063->0.234) -- PWC is dominated by urllc's state as designed."
PF1-VERDICT,docs/PAPER5_M45_PF1_priority_weighted_correctness.md,synthesis,"Metric defined, coded, and validated against real (already-collected) data with no new rig time. Distinguishes QoE-prioritization from SLA-uniform behavior because it is computed independently of both reward mechanisms from ground-truth radio state, is provably sensitive to the exact starvation failure mode the submitted compliance proxy misses, and its priority weights are the framework's own submission-record definition of correct prioritization, not invented for this milestone. GATE PF1 reported -- awaiting go before PF2 (live pilot)."
PF1b.1,docs/PAPER5_M45_PF1_...md addendum + m45_priority_weighted_correctness.py (extended),analysis only (no rig),"Adds PWC_eq (equal-weight variant, w=1/1, same C_k) reported alongside PWC for every arm, addressing weighting-bias review concern. Interpretation rule: ranking HOLDS between PWC/PWC_eq -> result is robust to weighting choice; ranking FLIPS -> isolates what prioritization specifically buys (an arm winning on PWC but not PWC_eq is better at protecting the priority slice specifically, not at raw service quality)."
PF1b.2,weighting-bias validation against E4 data,analysis,"Ranking by PWC and by PWC_eq across the 6 E4 combinations is IDENTICAL in both directions: (7,10)>(7,8)>(7,7)>(7,5)>(8,7)>(6,7). Honest limitation: E4 is a fixed-ceiling sweep, not two competing trained policies -- this confirms internal consistency on non-policy data but cannot itself show whether a real DQN-QoE-vs-DQN-SLA comparison would ever flip; left open for PF2 to observe."
PF1b.3,correct-shedding classification + Shed-Precision/Priority-Inversion-Rate,analysis,"Classifies every window (urllc protected?, embb shed?) into protected_no_shed_needed/correct_shed/indiscriminate_failure/priority_inversion using TAU_PROTECT_URLLC=0.75 (the clear bimodal gap in E4's own per-window C_urllc values) and TAU_SHED_EMBB=0.5 (above the ENTIRE measured embb graded-band range from M44-E2b's own solo characterization, 0.10-0.375, and above every embb C_k observed in E4, max 0.234) -- both thresholds read off already-measured project data, not invented."
PF1b.4,correct-shedding validation against E4 data,analysis,"(6,7): Shed-Precision=0.000 (all 4 windows classify indiscriminate_failure -- embb shed every time and NEVER protected urllc, despite PWC=0.289 reading as merely 'the worst of six', a difference of degree). (7,7)/(7,8): Shed-Precision=1.000 (embb shedding 100% effective). (8,7)/(7,5)/(7,10): Shed-Precision=0.5-0.75 (partial effectiveness, matching documented late-onset rejection blips). Honest limitation: every E4 window has C_embb<0.5 by experimental design (ceiling always set inside embb's own shed band), so Priority-Inversion-Rate is trivially 0/N-A everywhere -- that failure mode is a property of adaptive policy behavior, not a fixed-ceiling sweep, and can only be observed with real trained policies in PF2."
PF1b-VERDICT,docs/PAPER5_M45_PF1_...md,synthesis,"Both hardening additions defined, coded, and validated against E4's already-collected data with no new rig time. GATE PF1b reported -- awaiting go before PF2 (live pilot), which must log the same E4 trajectory schema already established (no new fields needed)."
